category,label,value,result
raw_rendering,LibreOffice,bb388ea7b674a076c09729b99efc07aae5a347fa815ebd691c08ea05120b4323,distinct
raw_rendering,Microsoft Word,7faab5364f94aa9bd88584dac50137311daf7ca96048de0d63d5e0504e3436a9,distinct
raw_rendering,Chrome print-to-PDF,b4d2f54a9673cc849f7dd07c2e8d13ce50634f2c703155f02aa02208b2a17cdb,distinct
raw_rendering,re-save (same tool, later),2612c4a109c392f4c38efe5971f91b51e1ab5e798404e18a2abafb5f51550c1e,distinct
canonical_equivalent,baseline,4b18cdbfa27e9f9641fe04e181142e6d025406cb4e8c3c8df2fcf4a16ae8627f,match
canonical_equivalent,different key order,4b18cdbfa27e9f9641fe04e181142e6d025406cb4e8c3c8df2fcf4a16ae8627f,match
canonical_equivalent,messy whitespace,4b18cdbfa27e9f9641fe04e181142e6d025406cb4e8c3c8df2fcf4a16ae8627f,match
tamper,grade changed A->B,514c567ccb952242b93541c89c075e076d9e8872a612e4e66eead43914640eb9,detected
tamper,name changed,2cb76e7cddbb0cda174575ce321786656b2effff05e4dfc28c95de02c9af21b9,detected
tamper,date changed,ec2033147cf251d3efd021c077d46c70a228e6e3983c988977480bbf2b547a68,detected
salt,salted,da8b375d261fb9a57056622f28668120c8e32af8c9619a96408d234d22753943,unlinkable
salt,unsalted,4b18cdbfa27e9f9641fe04e181142e6d025406cb4e8c3c8df2fcf4a16ae8627f,reproducible
