scenario,certificates,gas,gasPriceGwei,ethEur,totalEur,eurPerCertificate
A_1000_single_hash,1000,47955536,0,1500.000000,7.193330,0.007193
A_1000_single_hash,1000,47955536,0,2200.000000,10.550218,0.010550
A_1000_single_hash,1000,47955536,0,4000.000000,19.182214,0.019182
A_1000_single_hash,1000,47955536,1,1500.000000,35.966652,0.035967
A_1000_single_hash,1000,47955536,1,2200.000000,52.751090,0.052751
A_1000_single_hash,1000,47955536,1,4000.000000,95.911072,0.095911
A_1000_single_hash,1000,47955536,5,1500.000000,359.666520,0.359667
A_1000_single_hash,1000,47955536,5,2200.000000,527.510896,0.527511
A_1000_single_hash,1000,47955536,5,4000.000000,959.110720,0.959111
A_1000_single_hash,1000,47955536,50,1500.000000,3596.665200,3.596665
A_1000_single_hash,1000,47955536,50,2200.000000,5275.108960,5.275109
A_1000_single_hash,1000,47955536,50,4000.000000,9591.107200,9.591107
B_1000_merkle_batch,1000,48385,0,1500.000000,0.007258,0.000007
B_1000_merkle_batch,1000,48385,0,2200.000000,0.010645,0.000011
B_1000_merkle_batch,1000,48385,0,4000.000000,0.019354,0.000019
B_1000_merkle_batch,1000,48385,1,1500.000000,0.036289,0.000036
B_1000_merkle_batch,1000,48385,1,2200.000000,0.053224,0.000053
B_1000_merkle_batch,1000,48385,1,4000.000000,0.096770,0.000097
B_1000_merkle_batch,1000,48385,5,1500.000000,0.362888,0.000363
B_1000_merkle_batch,1000,48385,5,2200.000000,0.532235,0.000532
B_1000_merkle_batch,1000,48385,5,4000.000000,0.967700,0.000968
B_1000_merkle_batch,1000,48385,50,1500.000000,3.628875,0.003629
B_1000_merkle_batch,1000,48385,50,2200.000000,5.322350,0.005322
B_1000_merkle_batch,1000,48385,50,4000.000000,9.677000,0.009677
C_500_bulk_array,500,12303268,0,1500.000000,1.845490,0.003691
C_500_bulk_array,500,12303268,0,2200.000000,2.706719,0.005413
C_500_bulk_array,500,12303268,0,4000.000000,4.921307,0.009843
C_500_bulk_array,500,12303268,1,1500.000000,9.227451,0.018455
C_500_bulk_array,500,12303268,1,2200.000000,13.533595,0.027067
C_500_bulk_array,500,12303268,1,4000.000000,24.606536,0.049213
C_500_bulk_array,500,12303268,5,1500.000000,92.274510,0.184549
C_500_bulk_array,500,12303268,5,2200.000000,135.335948,0.270672
C_500_bulk_array,500,12303268,5,4000.000000,246.065360,0.492131
C_500_bulk_array,500,12303268,50,1500.000000,922.745100,1.845490
C_500_bulk_array,500,12303268,50,2200.000000,1353.359480,2.706719
C_500_bulk_array,500,12303268,50,4000.000000,2460.653600,4.921307
A_500_single_hash,500,23977780,0,1500.000000,3.596667,0.007193
A_500_single_hash,500,23977780,0,2200.000000,5.275112,0.010550
A_500_single_hash,500,23977780,0,4000.000000,9.591112,0.019182
A_500_single_hash,500,23977780,1,1500.000000,17.983335,0.035967
A_500_single_hash,500,23977780,1,2200.000000,26.375558,0.052751
A_500_single_hash,500,23977780,1,4000.000000,47.955560,0.095911
A_500_single_hash,500,23977780,5,1500.000000,179.833350,0.359667
A_500_single_hash,500,23977780,5,2200.000000,263.755580,0.527511
A_500_single_hash,500,23977780,5,4000.000000,479.555600,0.959111
A_500_single_hash,500,23977780,50,1500.000000,1798.333500,3.596667
A_500_single_hash,500,23977780,50,2200.000000,2637.555800,5.275112
A_500_single_hash,500,23977780,50,4000.000000,4795.556000,9.591112
B_500_merkle_batch,500,48385,0,1500.000000,0.007258,0.000015
B_500_merkle_batch,500,48385,0,2200.000000,0.010645,0.000021
B_500_merkle_batch,500,48385,0,4000.000000,0.019354,0.000039
B_500_merkle_batch,500,48385,1,1500.000000,0.036289,0.000073
B_500_merkle_batch,500,48385,1,2200.000000,0.053224,0.000106
B_500_merkle_batch,500,48385,1,4000.000000,0.096770,0.000194
B_500_merkle_batch,500,48385,5,1500.000000,0.362888,0.000726
B_500_merkle_batch,500,48385,5,2200.000000,0.532235,0.001064
B_500_merkle_batch,500,48385,5,4000.000000,0.967700,0.001935
B_500_merkle_batch,500,48385,50,1500.000000,3.628875,0.007258
B_500_merkle_batch,500,48385,50,2200.000000,5.322350,0.010645
B_500_merkle_batch,500,48385,50,4000.000000,9.677000,0.019354
