arch,batchSize,deployGas,registerTotalGas,registerAvgGas,verifyGas,proofDepth,revocationGas,storageSlotsPerBatch,notes
A_single_tx_per_hash,1,286323,47957,47957,24015,,,1,One transaction and one storage slot per certificate
A_single_tx_per_hash,10,286323,479558,47955,24015,,,10,One transaction and one storage slot per certificate
A_single_tx_per_hash,50,286323,2397766,47955,24015,,,50,One transaction and one storage slot per certificate
A_single_tx_per_hash,100,286323,4795580,47955,24003,,,100,One transaction and one storage slot per certificate
A_single_tx_per_hash,500,286323,23977780,47955,24015,,,500,One transaction and one storage slot per certificate
A_single_tx_per_hash,1000,286323,47955536,47955,24015,,,1000,One transaction and one storage slot per certificate
B_merkle_root,1,379585,48373,48373,25193,0,,1,One Merkle root and one transaction per batch
B_merkle_root,10,379585,48361,4836.1,29450,4,,1,One Merkle root and one transaction per batch
B_merkle_root,50,379585,48373,967.46,32040,6,,1,One Merkle root and one transaction per batch
B_merkle_root,100,379585,48373,483.73,33350,7,,1,One Merkle root and one transaction per batch
B_merkle_root,500,379585,48385,96.77,35880,9,,1,One Merkle root and one transaction per batch
B_merkle_root,1000,379585,48385,48.385,37160,10,,1,One Merkle root and one transaction per batch
C_bulk_array_storage,1,347417,50021,50021,24015,,,1,"One transaction per batch, but still one storage slot per certificate"
C_bulk_array_storage,10,347417,271022,27102.2,24015,,,10,"One transaction per batch, but still one storage slot per certificate"
C_bulk_array_storage,50,347417,1253242,25064.84,24015,,,50,"One transaction per batch, but still one storage slot per certificate"
C_bulk_array_storage,100,347417,2481032,24810.32,24015,,,100,"One transaction per batch, but still one storage slot per certificate"
C_bulk_array_storage,500,347417,12303268,24606.536,24015,,,500,"One transaction per batch, but still one storage slot per certificate"
C_bulk_array_storage,1000,347417,EXCEEDS_TX_GAS_CAP,EXCEEDS_TX_GAS_CAP,,,,1000,"Exceeds the per-transaction gas cap of 16,777,216 (EIP-7825); the 30,000,000 block gas limit is not the binding constraint"
D_revocable_single_hash,1,356317,47979,47979,26301,,50112,2,Individual revocation stores an additional revoked flag per certificate
E_revocable_merkle_batch,1000,462316,48385,48.385,37190,10,50134,2,Root-level revocation invalidates the whole batch with one extra storage slot
