arch,batchSize,deployGas,registerTotalGas,registerFirstGas,registerAvgGas,verifyGas,proofDepth
A,1,286323,47957,47957,47957,24015,
A,10,286323,479558,47957,47955,24015,
A,50,286323,2397838,47957,47956,24015,
A,100,286323,4795508,47957,47955,24015,
A,500,286323,23977828,47957,47955,24015,
A,1000,286323,47955560,47957,47955,24015,
B,1,379585,48373,48373,48373,25193,0
B,10,379585,48373,48373,4837.3,29510,4
B,50,379585,48373,48373,967.46,32040,6
B,100,379585,48373,48373,483.73,33320,7
B,500,379585,48373,48373,96.746,35910,9
B,1000,379585,48385,48385,48.385,37190,10
